"PG.ProteinGroups","logFC_primary","logFC_comparison"
"P27348",0.117384717277539,0.0336940359833955
"P27482",-0.0813810929311636,-0.108491340148484
"P27797",-0.163294516040754,-0.216520196268986
"P27824",-0.0471121968454167,-0.0932049045859618
"P28066",0.107098902278288,0.0323881690465733
"P28070",0.0272567239356096,-0.0436179234691547
"P28072",-0.0107822602927312,-0.0104545045896245
"P28074",-0.0735195348523217,-0.102999485370507
"P28289",0.0978774620575846,-0.113181240007823
"P28300",0.0160672666953205,-0.0247549253176231
"P28482",-0.352145825745659,-0.322845715423298
"P28676",0.0658555376960468,-0.0785325336057028
"P28838",-0.0208257024658449,-0.133879189781092
"P28906",-0.111985112838134,-0.112958814799502
"P29122",-0.326822694200828,-0.35502468915586
"P29144",-0.144753018530107,-0.172857345368637
"P29279",-0.266859633563156,-0.280557414757576
