PG.ProteinGroups,FJ_FQ,FJ_PT,FJ_QZ,GZ_TH,XZ_GG,XZ_YA,XZ_YB,XZ_YC,XZ_YD
Q9NZM1,0.08571428571428572,0.15384615384615385,0.04918032786885246,0.11382113821138211,0.13986013986013987,0.22727272727272727,0.0,0.11764705882352941,0.21428571428571427
Q9NZM3,0.05714285714285714,0.23076923076923078,0.03278688524590164,0.08130081300813008,0.08391608391608392,0.18181818181818182,0.3333333333333333,0.029411764705882353,0.25
Q9NZN3,0.9857142857142858,1.0,1.0,0.991869918699187,0.993006993006993,1.0,1.0,1.0,1.0
Q9NZN4,0.7285714285714285,0.8846153846153846,0.819672131147541,0.5121951219512195,0.6433566433566433,0.8181818181818182,1.0,0.8529411764705882,0.7857142857142857
Q9NZP8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q9NZQ3,0.08571428571428572,0.46153846153846156,0.13114754098360656,0.15447154471544716,0.1958041958041958,0.22727272727272727,0.3333333333333333,0.5,0.39285714285714285
Q9NZR2,0.4,0.7307692307692307,0.6557377049180327,0.04878048780487805,0.0979020979020979,0.36363636363636365,0.4166666666666667,0.17647058823529413,0.2857142857142857
Q9NZT1,1.0,1.0,0.9836065573770492,1.0,0.965034965034965,1.0,1.0,1.0,1.0
Q9NZZ3,0.08571428571428572,0.4230769230769231,0.11475409836065574,0.04878048780487805,0.04895104895104895,0.2727272727272727,0.25,0.20588235294117646,0.2857142857142857
Q9P015,0.08571428571428572,0.11538461538461539,0.04918032786885246,0.024390243902439025,0.06993006993006994,0.0,0.0,0.08823529411764706,0.07142857142857142
Q9P016,0.02857142857142857,0.038461538461538464,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
Q9P035,0.014285714285714285,0.2692307692307692,0.03278688524590164,0.056910569105691054,0.06993006993006994,0.0,0.0,0.029411764705882353,0.25
Q9P0J0,0.08571428571428572,0.15384615384615385,0.04918032786885246,0.15447154471544716,0.26573426573426573,0.22727272727272727,0.08333333333333333,0.23529411764705882,0.35714285714285715
Q9P0J7,0.014285714285714285,0.0,0.08196721311475409,0.14634146341463414,0.03496503496503497,0.2727272727272727,0.16666666666666666,0.029411764705882353,0.10714285714285714
Q9P0L0,0.45714285714285713,0.9615384615384616,0.6229508196721312,0.5528455284552846,0.6923076923076923,0.6363636363636364,0.75,0.6764705882352942,0.6428571428571429
Q9P0S2,0.6857142857142857,0.7692307692307693,0.7213114754098361,0.24390243902439024,0.1048951048951049,0.9545454545454546,1.0,0.9705882352941176,0.8571428571428571
Q9P0U4,0.05714285714285714,0.0,0.08196721311475409,0.12195121951219512,0.22377622377622378,0.18181818181818182,0.16666666666666666,0.11764705882352941,0.21428571428571427
Q9P107,0.05714285714285714,0.11538461538461539,0.03278688524590164,0.0975609756097561,0.13986013986013987,0.0,0.08333333333333333,0.058823529411764705,0.32142857142857145
Q9P126,0.11428571428571428,0.46153846153846156,0.19672131147540983,0.23577235772357724,0.46853146853146854,0.36363636363636365,0.6666666666666666,0.4117647058823529,0.5
Q9P1F3,0.3,0.8076923076923077,0.3442622950819672,0.6504065040650406,0.6503496503496503,0.5,0.5833333333333334,0.6470588235294118,0.6428571428571429
Q9P1T7,0.5857142857142857,0.7307692307692307,0.6229508196721312,0.7723577235772358,0.5594405594405595,0.6818181818181818,0.6666666666666666,0.9117647058823529,0.7857142857142857
Q9P1Y5,0.2714285714285714,0.46153846153846156,0.26229508196721313,0.2032520325203252,0.21678321678321677,0.5454545454545454,0.9166666666666666,0.5294117647058824,0.5
Q9P1Z2,0.18571428571428572,0.6923076923076923,0.2786885245901639,0.2682926829268293,0.2517482517482518,0.4090909090909091,0.5,0.47058823529411764,0.5357142857142857
Q9P232,0.4857142857142857,0.4230769230769231,0.2459016393442623,0.13008130081300814,0.11188811188811189,0.5,0.5833333333333334,0.5,0.6428571428571429
Q9P253,0.02857142857142857,0.4230769230769231,0.04918032786885246,0.15447154471544716,0.16083916083916083,0.13636363636363635,0.3333333333333333,0.11764705882352941,0.39285714285714285
Q9P258,0.37142857142857144,0.5,0.45901639344262296,0.3008130081300813,0.42657342657342656,0.4090909090909091,0.8333333333333334,0.5882352941176471,0.5714285714285714
Q9P260,0.1,0.2692307692307692,0.09836065573770492,0.16260162601626016,0.23076923076923078,0.045454545454545456,0.0,0.17647058823529413,0.39285714285714285
Q9P270,0.14285714285714285,0.5384615384615384,0.18032786885245902,0.21951219512195122,0.2937062937062937,0.36363636363636365,0.3333333333333333,0.20588235294117646,0.42857142857142855
Q9P289,0.2714285714285714,0.7692307692307693,0.3442622950819672,0.43902439024390244,0.43356643356643354,0.5909090909090909,0.9166666666666666,0.4411764705882353,0.6071428571428571
Q9P2B2,0.37142857142857144,0.5,0.3114754098360656,0.23577235772357724,0.4125874125874126,0.5454545454545454,0.9166666666666666,0.5882352941176471,0.6071428571428571
Q9P2E9,0.3142857142857143,0.4230769230769231,0.3442622950819672,0.2032520325203252,0.06293706293706294,0.36363636363636365,0.5,0.5,0.42857142857142855
Q9P2J5,0.18571428571428572,0.5769230769230769,0.29508196721311475,0.22764227642276422,0.3776223776223776,0.4090909090909091,0.3333333333333333,0.4117647058823529,0.42857142857142855
Q9P2R7,0.05714285714285714,0.19230769230769232,0.08196721311475409,0.15447154471544716,0.15384615384615385,0.13636363636363635,0.16666666666666666,0.14705882352941177,0.32142857142857145
Q9P2S5,0.34285714285714286,0.3076923076923077,0.09836065573770492,0.14634146341463414,0.08391608391608392,0.4090909090909091,0.16666666666666666,0.5,0.8571428571428571
Q9P2T1,0.7142857142857143,0.9615384615384616,0.8524590163934426,0.6016260162601627,0.6223776223776224,0.7727272727272727,1.0,0.7352941176470589,0.7857142857142857
Q9P2X0,0.07142857142857142,0.23076923076923078,0.13114754098360656,0.04065040650406504,0.1048951048951049,0.22727272727272727,0.3333333333333333,0.17647058823529413,0.25
Q9UBB4,0.04285714285714286,0.07692307692307693,0.0,0.08943089430894309,0.1048951048951049,0.09090909090909091,0.08333333333333333,0.058823529411764705,0.32142857142857145
Q9UBC2,0.6142857142857143,0.9230769230769231,0.7540983606557377,0.5447154471544715,0.6713286713286714,0.8636363636363636,0.9166666666666666,0.6470588235294118,0.7142857142857143
Q9UBC9,0.24285714285714285,0.2692307692307692,0.13114754098360656,0.2601626016260163,0.14685314685314685,0.36363636363636365,0.4166666666666667,0.08823529411764706,0.14285714285714285
Q9UBE0,0.9857142857142858,0.9615384615384616,0.9672131147540983,0.9105691056910569,0.9440559440559441,1.0,1.0,1.0,1.0
