PG.ProteinGroups,control,high,low,unknown
O14974,0.45751633986928103,0.42613636363636365,0.46236559139784944,0.75
O14976,0.0915032679738562,0.11363636363636363,0.08602150537634409,0.0
O14979,0.673202614379085,0.6534090909090909,0.6935483870967742,0.75
O14980,0.6078431372549019,0.6477272727272727,0.6075268817204301,1.0
O14983,0.7581699346405228,0.6761363636363636,0.6236559139784946,0.75
O15013;Q9HCE6,0.3660130718954248,0.42045454545454547,0.43548387096774194,0.5
O15031,0.8562091503267973,0.8579545454545454,0.9301075268817204,1.0
O15033,0.35294117647058826,0.3465909090909091,0.34946236559139787,0.0
O15067,0.28104575163398693,0.22727272727272727,0.25268817204301075,0.5
O15075,0.0392156862745098,0.028409090909090908,0.016129032258064516,0.25
O15084,0.5816993464052288,0.5965909090909091,0.6451612903225806,0.75
O15111,0.5098039215686274,0.5227272727272727,0.532258064516129,1.0
O15116,0.0392156862745098,0.03977272727272727,0.04838709677419355,0.25
O15117,0.869281045751634,0.7784090909090909,0.8602150537634409,1.0
O15118,0.28104575163398693,0.29545454545454547,0.24193548387096775,0.25
O15126,0.06535947712418301,0.06818181818181818,0.06451612903225806,0.5
O15127,0.06535947712418301,0.056818181818181816,0.07526881720430108,0.25
O15143,0.8888888888888888,0.8409090909090909,0.9086021505376344,1.0
O15144,0.954248366013072,0.9602272727272727,0.946236559139785,1.0
O15145,0.9934640522875817,0.9715909090909091,0.967741935483871,1.0
O15155,0.058823529411764705,0.09659090909090909,0.08064516129032258,0.25
O15173,0.2222222222222222,0.30113636363636365,0.24731182795698925,0.5
O15194,0.10457516339869281,0.11931818181818182,0.10752688172043011,0.25
O15204,1.0,1.0,1.0,1.0
O15212,0.20261437908496732,0.19318181818181818,0.13440860215053763,0.25
O15213,0.013071895424836602,0.03409090909090909,0.021505376344086023,0.0
O15230,0.27450980392156865,0.22727272727272727,0.2956989247311828,0.75
O15231,0.20261437908496732,0.2159090909090909,0.25268817204301075,0.5
O15258,0.1437908496732026,0.11931818181818182,0.11827956989247312,0.25
O15260,0.3333333333333333,0.4034090909090909,0.3763440860215054,0.5
O15264,0.24836601307189543,0.2556818181818182,0.27956989247311825,0.5
O15269,0.026143790849673203,0.056818181818181816,0.021505376344086023,0.0
O15294,0.05228758169934641,0.03977272727272727,0.005376344086021506,0.0
O15305,0.40522875816993464,0.3806818181818182,0.3870967741935484,0.25
O15327,0.09803921568627451,0.13636363636363635,0.16129032258064516,0.25
O15335,1.0,1.0,1.0,1.0
O15357,0.0392156862745098,0.05113636363636364,0.06989247311827956,0.0
O15371,0.45098039215686275,0.4431818181818182,0.4946236559139785,0.5
O15372,0.20261437908496732,0.19886363636363635,0.24731182795698925,0.75
O15389,0.13071895424836602,0.06818181818181818,0.11827956989247312,0.0
O15394,0.13071895424836602,0.13068181818181818,0.1827956989247312,0.25
O15400,0.9934640522875817,0.9715909090909091,0.989247311827957,1.0
O15427,0.3333333333333333,0.2784090909090909,0.3333333333333333,0.5
