"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"Q504Y2",7.71315527316276,7.95144065621956,7.56086913704331,"Low_peak",-0.363995873900211,0.0148669001205594
"Q92187",11.0240928522183,11.080918594244,10.8612746870555,"Low_peak",-0.233118216179955,0.0148670651714849
"P02760",15.7617717143238,15.8808098713899,15.6781208411957,"Low_peak",-0.172662685662496,0.0149970712607733
"Q53EL9",7.90812546401565,8.21594264875972,7.86997873632012,"Low_peak",-0.301136788267518,0.0151539573323163
"Q15582",10.6849342325717,10.8453241996212,10.5443832349819,"Low_peak",-0.258773821009751,0.0151539573323163
"O00461",8.9602397796175,9.08126010288438,8.78380758902837,"Low_peak",-0.282960568641922,0.015402129266756
"P26022",10.3935130927414,10.6220911667304,10.2632243883427,"Low_peak",-0.295036713350385,0.015432376412274
"O60462",12.4155011888276,12.6407145445941,12.3411160536036,"Low_peak",-0.255842940490183,0.0155681817198973
"Q8IZP7",8.7360896334614,8.86753621406281,8.55645678228372,"Low_peak",-0.261440066503813,0.0156450468191564
"P29966",7.19031716556533,7.32358529850848,7.00137619269102,"Low_peak",-0.275976819924358,0.0162675668085129
"Q14767",9.46554199085989,9.76617793784318,9.33459179540903,"Low_peak",-0.368237871251832,0.0162936921362173
"Q76LX8",9.70415035718012,10.1046035594867,9.75313309012967,"Low_peak",-0.294736636685709,0.0162983526382422
"P16871",10.3733892366603,10.3634658511551,10.1313094647703,"High_suppression",-0.300120345626206,0.0176252027347758
"Q9H159",9.3941916602857,9.5815475520055,9.29057198303505,"Low_peak",-0.275128594243997,0.0177917088440114
"Q07507",13.3848369256602,13.508560411415,13.2072976777819,"Low_peak",-0.2791597989685,0.0180988735459372
"P00966",7.60583832844226,8.22670770170712,7.71739439641871,"Low_peak",-0.362197878692168,0.0181325247291018
"Q8IUK5",11.433666032537,11.5810436220663,11.3260697939734,"Low_peak",-0.241450435308362,0.0181325247291018
"P98095",8.64897872079637,8.93794183140651,8.59881400395583,"Low_peak",-0.289679393335529,0.0181420449315958
"Q96AQ6",8.53787195585287,8.76420990207808,8.41292620568848,"Low_peak",-0.310011275973494,0.0181511543900977
"P24821",13.2959903697099,13.4085231892742,13.0773034965534,"Low_peak",-0.324609108312316,0.0182797893800968
"Q658P3",8.50691157621899,8.84831533575433,8.41704813066432,"Low_peak",-0.318889023802424,0.0184354872978685
"Q6EMK4",10.1992653999184,10.5569964495948,10.3100753206619,"Low_peak",-0.209511215241774,0.0184610984350618
"Q86YZ3",8.7241895544486,8.82990897992973,8.47251311037291,"Low_peak",-0.374262172725114,0.0184610984350618
"P32942",9.85002830380242,9.8714293581298,9.61778202167016,"High_suppression",-0.245322274199392,0.0184610984350618
"Q6YHK3",9.43664227307421,9.72675365633786,9.44405903116714,"Low_peak",-0.258776249189143,0.0184610984350618
"P20908",7.69702927106414,7.9008461434507,7.56310322212401,"Low_peak",-0.292857084774441,0.0194227173839545
"Q10472",8.98402798490747,9.09718275584938,8.82503507183537,"Low_peak",-0.222112284728084,0.0194840548165674
"P50895",8.51413194317904,8.79538620153296,8.35451337192809,"Low_peak",-0.312988698108146,0.0194840548165674
"Q14242",12.076180556996,12.2142416737264,11.9254379585222,"Low_peak",-0.236784097470755,0.0194840548165674
"Q8IZP9",8.70656786484816,8.97912932553545,8.65864910730763,"Low_peak",-0.295922207034891,0.0194840548165674
"Q8NBJ4",11.3572165990381,11.5423302746681,11.2753746973758,"Low_peak",-0.243269208530837,0.0198050625488226
"P21810",10.8647098594895,10.9028042439442,10.6472415139931,"High_suppression",-0.255156077599995,0.0198609095611421
"O95715",8.67795933151536,8.99053896045507,8.59076631381526,"Low_peak",-0.363457232280329,0.0199153184164183
"Q9BXN1",11.278093201982,11.5298920682652,11.2100873386579,"Low_peak",-0.26211184469213,0.0201707135623028
"Q9H2X3",8.21019745744965,8.48375992107608,8.18239964939669,"Low_peak",-0.276762037593478,0.0201975395623779
"Q6UX71",10.062457382816,10.2693258732907,9.99453352232195,"Low_peak",-0.259297358490002,0.020221849306813
"Q8NI99",11.8974438293827,12.1463729242572,11.7626629162936,"Low_peak",-0.376744036144384,0.0210157065256928
"O94769",9.26236597056918,9.39841852928997,9.12420922125099,"Low_peak",-0.282012511621854,0.0211681709246874
